sampleID,Axis7.757232,Axis6.925851,Axis4.890506,region,location,siteID,depth,filter,subset,MPA,management,restrictions
EB215,0.0932275,0.005731187,-0.193797724,Waigeo,Waigeo,WGO_08,S,0.4um,S04,yes,core zone,fishing prohibited
EB217,0.166146924,-0.143789801,-0.082383995,Waigeo,Waigeo,WGO_09,S,0.4um,S04,yes,tourism zone,fishing prohibited
EB219,-0.087361904,-0.03670086,-0.289802689,Waigeo,Waigeo,WGO_10,S,0.4um,S04,yes,tourism zone,fishing prohibited
EB222,-0.208429758,0.018610036,-0.163100579,Waigeo,Waigeo,WGO_12,S,0.4um,S04,no,open access,unrestricted fishing
EB223,-0.044294275,0.03047849,-0.110300616,Waigeo,Waigeo,WGO_13,S,0.4um,S04,no,open access,unrestricted fishing
EB227,-0.005000924,0.059613697,0.022037061,Waigeo,Waigeo,WGO_16,S,0.4um,S04,yes,core zone,fishing prohibited
EB229,-0.022944834,0.026798208,-0.191864144,Waigeo,Waigeo,WGO_17,S,0.4um,S04,yes,core zone,fishing prohibited
EB232,-0.088556919,0.044797252,-0.221279443,Waigeo,Waigeo,WGO_18,S,0.4um,S04,no,open access,unrestricted fishing
EB237,0.168199908,-0.252602399,-0.11822767,Wakatobi,Wakatobi,WK_03,S,0.4um,S04,no,open access,unrestricted fishing
EB268,0.185610763,-0.257311734,0.105433331,Wakatobi,Wakatobi,WK_20,S,0.4um,S04,no,open access,unrestricted fishing
EB270,0.081997878,-0.283568021,0.007565288,Wakatobi,Wakatobi,WK_04,S,0.4um,S04,no,open access,unrestricted fishing
EB271,0.192903988,-0.275865382,0.062456172,Wakatobi,Wakatobi,WK_05,S,0.4um,S04,no,open access,unrestricted fishing
EB272,0.085325043,-0.220436582,0.032263897,Wakatobi,Wakatobi,WK_06,S,0.4um,S04,no,open access,unrestricted fishing
EB273,0.127056207,-0.2767975,0.083475734,Wakatobi,Wakatobi,WK_08,S,0.4um,S04,no,open access,unrestricted fishing
EB274,0.084908354,-0.279681483,0.13853158,Wakatobi,Wakatobi,WK_09,S,0.4um,S04,no,open access,unrestricted fishing
EB276,0.158892262,-0.312082348,0.09132034,Wakatobi,Wakatobi,WK_11,S,0.4um,S04,no,open access,unrestricted fishing
EB278,0.102851136,-0.289951963,0.097958749,Wakatobi,Wakatobi,WK_12,S,0.4um,S04,no,open access,unrestricted fishing
EB280,-0.01370087,-0.223648658,0.047122489,Wakatobi,Wakatobi,WK_15,S,0.4um,S04,no,open access,unrestricted fishing
EB281,0.131475847,-0.283683175,0.061399777,Wakatobi,Wakatobi,WK_16,S,0.4um,S04,no,open access,unrestricted fishing
EB357,-0.314452568,0.027016282,-0.109699511,Lombok,North Lombok,LBK_01,S,0.4um,S04,yes,core zone,fishing prohibited
EB361,-0.056803515,-0.076708403,0.199978768,Lombok,North Lombok,LBK_02,S,0.4um,S04,yes,sustainable fisheries zone,fishing gear restriction
EB365,-0.178957603,-0.088651869,0.174753328,Lombok,North Lombok,LBK_03,S,0.4um,S04,yes,sustainable fisheries zone,fishing gear restriction
EB369,-0.257814177,-0.06257904,0.180281626,Lombok,North Lombok,LBK_04,S,0.4um,S04,yes,core zone,fishing prohibited
EB372,-0.194952002,-0.033414025,0.07506031,Lombok,North Lombok,LBK_05,S,0.4um,S04,no,open access,unrestricted fishing
EB375,-0.196652376,-0.012455493,0.181058539,Lombok,North Lombok,LBK_06,S,0.4um,S04,no,open access,unrestricted fishing
EB377,-0.167821463,-0.024440078,0.004549722,Lombok,South Lombok,LBK_07,S,0.4um,S04,yes,core zone,fishing prohibited
EB378,-0.147554878,-0.064859572,-0.030457221,Lombok,South Lombok,LBK_09,S,0.4um,S04,no,open access,unrestricted fishing
EB379,-0.118732368,-0.095567878,-0.013760766,Lombok,South Lombok,LBK_10,S,0.4um,S04,yes,core zone,fishing prohibited
EB380,-0.181046887,0.025146024,-0.127674692,Lombok,South Lombok,LBK_11,S,0.4um,S04,yes,sustainable fisheries zone,fishing gear restriction
EB383,-0.020005814,-0.049219479,-0.06718903,Lombok,South Lombok,LBK_12,S,0.4um,S04,yes,sustainable fisheries zone,fishing gear restriction
EB386,-0.348790146,0.016711415,0.150419989,Lombok,North Lombok,LBK_13,S,0.4um,S04,yes,core zone,fishing prohibited
EB390,-0.323178886,0.010020871,0.258898996,Lombok,North Lombok,LBK_14,S,0.4um,S04,yes,sustainable fisheries zone,fishing gear restriction
EB394,-0.228484079,-0.047943936,0.239697783,Lombok,North Lombok,LBK_15,S,0.4um,S04,yes,sustainable fisheries zone,fishing gear restriction
